country,port,year,month,price_euro_kg,volume_sold_kg,wind_m_s
France,FR - Agde,2018,11,0.69,19874,4.956350145
France,FR - Agde,2017,7,0.63999999,252,5.010353768
France,FR - Agde,2017,2,0.98000002,246,5.701680537
France,FR - Agde,2015,4,0.73000002,104,4.80148296
France,FR - Agde,2018,1,1.3,424,6.207765883
France,FR - Agde,2018,9,0.81999999,591,3.576252719
France,FR - Agde,2016,7,0.82999998,265,4.523682907
France,FR - Agde,2013,1,1.23,3573,7.661814872
France,FR - Agde,2015,1,1.37,31789,6.526747468
France,FR - Agde,2019,2,0.60000002,134,4.289457007
France,FR - Agde,2017,8,0.85000002,368,4.28866511
France,FR - Agde,2013,3,1.0599999,1381,6.142965116
France,FR - Agde,2014,3,1.27,16014,5.87557113
France,FR - Agde,2018,3,1.11,164,6.068042451
France,FR - Agde,2019,1,0.69,485,7.500758393
France,FR - Agde,2013,8,1.6900001,6677,4.637433201
France,FR - Agde,2018,2,1.14,142,5.966144157
France,FR - Agde,2016,5,0.68000001,162,5.96250611
France,FR - Agde,2014,8,0.61000001,370,4.400196167
France,FR - Agde,2016,9,0.56999999,723,4.451196885
France,FR - Agde,2015,2,1.34,15391,6.364458985
France,FR - Agde,2016,8,0.60000002,337,4.158308717
France,FR - Agde,2014,6,0.54000002,42,4.977972879
France,FR - Agde,2015,11,0.88999999,135,5.346098024
France,FR - Agde,2014,1,1.59,282,5.893901121
France,FR - Agde,2018,5,0.85000002,75,10.21773684
France,FR - Agde,2017,11,0.88999999,252,6.317335918
France,FR - Agde,2016,10,0.52999997,141,4.043243434
France,FR - Agde,2017,3,0.82999998,232,5.031340551
France,FR - Agde,2013,9,0.94999999,314,5.122806094
France,FR - Agde,2014,9,0.41999999,307,3.934442345
France,FR - Agde,2017,6,0.63,48,3.941129407
France,FR - Agde,2019,3,0.89999998,84,5.392998572
France,FR - Agde,2018,6,0.85000002,4,4.23928396
France,FR - Agde,2014,12,1.47,633,7.707922892
France,FR - Agde,2013,4,1.15,25,4.761657145
France,FR - Agde,2015,3,1.09,726,5.757883027
France,FR - Agde,2015,10,0.49000001,181,4.410261962
France,FR - Agde,2013,2,1.3,3074,6.222514119
France,FR - Agde,2015,8,1.5,183,4.093428662
France,FR - Agde,2014,7,0.49000001,113,6.073222474
France,FR - Agde,2013,6,1.15,43,5.764011371
France,FR - Agde,2016,11,0.88999999,284,5.067976697
France,FR - Agde,2016,1,0.63999999,703,4.043458534
France,FR - Agde,2017,10,0.72000003,392,4.965497225
France,FR - Agde,2016,3,0.46000001,206,5.784799976
France,FR - Agde,2016,6,0.67000002,37,5.066710152
France,FR - Agde,2016,12,1.22,204,3.81380871
France,FR - Agde,2018,4,0.89999998,134,4.664003087
France,FR - Agde,2014,10,0.54000002,161,4.148471219
France,FR - Agde,2018,10,0.69999999,209,5.982695727
France,FR - Agde,2013,12,0.82999998,136,5.232471973
France,FR - Agde,2015,9,0.38,354,4.654811427
France,FR - Agde,2014,2,1.42,93,5.759929248
France,FR - Agde,2015,7,0.28999999,178,4.496525685
France,FR - Agde,2017,4,1.12,227,5.235539853
France,FR - Agde,2017,12,1.24,13141,6.225675047
France,FR - Agde,2017,9,0.88999999,229,4.941898074
France,FR - Agde,2018,8,0.79000002,234,4.5532995
France,FR - Agde,2013,11,1.74,21455,7.742470067
France,FR - Agde,2017,1,1.33,802,5.710586336
France,FR - Agde,2014,4,0.72000003,1159,5.472950811
France,FR - Agde,2013,10,0.46000001,40,5.45075396
France,FR - Agde,2017,5,0.76999998,633,4.119817563
France,FR - Agde,2014,11,0.55000001,97,5.611757458
France,FR - Agde,2014,5,0.75,174,6.367701356
France,FR - Agde,2013,5,1.08,567,6.544486363
France,FR - Agde,2013,7,0.76999998,2935,3.279893872
France,FR - Agde,2018,12,0.75999999,21136,4.444574071
France,FR - Agde,2019,4,0.68000001,35,5.205981273
France,FR - Agde,2015,5,0.69,164,5.623961442
France,FR - Agde,2016,4,0.61000001,129,5.667704829
France,FR - Agde,2015,12,0.99000001,329,3.04554872
France,FR - Agde,2019,5,0.91000003,62,6.294242036
France,FR - Agde,2016,2,0.64999998,618,5.998811081
France,FR - Agde,2015,6,0.49000001,21,4.178406557
France,FR - Boulogne-sur-Mer,2014,8,0.51999998,157686,5.690236911
France,FR - Boulogne-sur-Mer,2017,5,0.99000001,112571,5.403818282
France,FR - Boulogne-sur-Mer,2018,7,2.01,61813,4.013184342
France,FR - Boulogne-sur-Mer,2013,8,0.86000001,81329,4.493640919
France,FR - Boulogne-sur-Mer,2015,7,1.52,149697,6.113648516
France,FR - Boulogne-sur-Mer,2018,3,1.54,1138,7.028577711
France,FR - Boulogne-sur-Mer,2015,2,1.39,40,7.01346432
France,FR - Boulogne-sur-Mer,2018,11,1.3,2528,7.611428367
France,FR - Boulogne-sur-Mer,2013,2,1.89,813,6.115053782
France,FR - Boulogne-sur-Mer,2015,8,1.55,81760,5.086297824
France,FR - Boulogne-sur-Mer,2017,9,0.69999999,71141,6.007228536
France,FR - Boulogne-sur-Mer,2018,8,1.02,122245,5.255689085
France,FR - Boulogne-sur-Mer,2015,1,1.4299999,296,8.514441216
France,FR - Boulogne-sur-Mer,2013,10,0.54000002,244506,7.172608551
France,FR - Boulogne-sur-Mer,2013,6,0.77999997,152188,5.552291326
France,FR - Boulogne-sur-Mer,2014,1,1.49,3337,9.021534461
France,FR - Boulogne-sur-Mer,2014,9,0.56999999,126231,3.865131453
France,FR - Boulogne-sur-Mer,2015,12,1.1,60,9.884395308
France,FR - Boulogne-sur-Mer,2017,8,0.82999998,214906,4.963840848
France,FR - Boulogne-sur-Mer,2018,6,1.21,182994,5.365279402
France,FR - Boulogne-sur-Mer,2018,12,1.2,25,8.089761024
France,FR - Boulogne-sur-Mer,2017,11,0.44,35486,6.813639956
France,FR - Boulogne-sur-Mer,2014,10,0.54000002,273721,6.739245692
France,FR - Boulogne-sur-Mer,2014,11,0.64999998,138347,6.678535255
France,FR - Boulogne-sur-Mer,2017,10,0.67000002,22622,7.380587026
